Date,open,high,low,close
2024-10-07 18:00:00,2640.69,2650.11,2639.2,2645.7
2024-10-07 19:00:00,2645.66,2646.91,2642.69,2646.87
2024-10-07 20:00:00,2646.68,2648.73,2644.14,2647.87
2024-10-07 21:00:00,2647.88,2648.06,2639.75,2640.91
2024-10-07 22:00:00,2640.93,2644.66,2640.46,2643.16
2024-10-07 23:00:00,2643.18,2643.65,2641.68,2642.51
2024-10-08 01:00:00,2644.69,2649.06,2641.58,2644.16
2024-10-08 02:00:00,2644.13,2644.81,2642.44,2642.98
2024-10-08 03:00:00,2643.0,2645.12,2642.35,2643.53
2024-10-08 04:00:00,2643.36,2647.85,2637.92,2647.29
2024-10-08 05:00:00,2647.27,2648.31,2633.78,2635.74
2024-10-08 06:00:00,2635.59,2645.73,2635.22,2642.97
2024-10-08 07:00:00,2642.95,2643.81,2641.36,2643.09
2024-10-08 08:00:00,2643.05,2646.33,2641.54,2645.05
2024-10-08 09:00:00,2644.93,2646.42,2635.66,2636.4
2024-10-08 10:00:00,2636.41,2638.5,2631.19,2634.01
2024-10-08 11:00:00,2634.0,2640.31,2628.63,2637.94
2024-10-08 12:00:00,2637.96,2641.97,2635.73,2641.42
2024-10-08 13:00:00,2641.39,2647.39,2639.81,2646.21
2024-10-08 14:00:00,2646.24,2651.88,2646.2,2650.74
2024-10-08 15:00:00,2650.76,2652.96,2639.79,2645.92
2024-10-08 16:00:00,2645.99,2647.52,2636.61,2639.6
2024-10-08 17:00:00,2639.63,2640.37,2619.09,2620.84
2024-10-08 18:00:00,2621.03,2621.03,2604.77,2612.98
2024-10-08 19:00:00,2612.96,2616.21,2606.72,2609.06
2024-10-08 20:00:00,2609.05,2618.12,2605.51,2614.52
2024-10-08 21:00:00,2614.68,2616.93,2613.71,2615.68
2024-10-08 22:00:00,2615.61,2623.6,2614.94,2622.81
2024-10-08 23:00:00,2622.9,2623.04,2618.83,2621.85
2024-10-09 01:00:00,2621.6,2622.41,2620.61,2621.98
2024-10-09 02:00:00,2622.08,2623.8,2621.13,2621.93
2024-10-09 03:00:00,2621.96,2623.25,2620.96,2621.16
2024-10-09 04:00:00,2621.13,2624.29,2618.27,2619.95
2024-10-09 05:00:00,2619.95,2620.44,2616.83,2618.44
2024-10-09 06:00:00,2618.42,2618.83,2614.93,2617.12
2024-10-09 07:00:00,2617.11,2618.55,2615.47,2615.98
2024-10-09 08:00:00,2615.96,2624.34,2615.8,2619.61
2024-10-09 09:00:00,2619.61,2619.62,2610.67,2612.77
2024-10-09 10:00:00,2612.47,2615.58,2609.18,2611.65
2024-10-09 11:00:00,2611.64,2617.36,2610.46,2616.3
2024-10-09 12:00:00,2616.33,2618.46,2614.6,2618.0
2024-10-09 13:00:00,2618.05,2621.48,2616.08,2621.06
2024-10-09 14:00:00,2621.09,2622.44,2617.01,2619.02
2024-10-09 15:00:00,2619.03,2622.37,2615.51,2618.89
2024-10-09 16:00:00,2618.95,2620.72,2606.73,2609.63
2024-10-09 17:00:00,2609.62,2611.91,2605.23,2609.79
2024-10-09 18:00:00,2609.7,2617.91,2609.38,2614.81
