Date,open,high,low,close,tick_volume
2022-01-21 16:45:00,1841.28,1842.18,1839.97,1840.72,3037
2022-01-21 17:00:00,1840.75,1840.75,1835.29,1836.28,3434
2022-01-21 17:15:00,1836.28,1837.76,1833.39,1834.35,2802
2022-01-21 17:30:00,1834.35,1835.92,1832.83,1833.17,3110
2022-01-21 17:45:00,1833.17,1835.29,1831.94,1834.64,2975
2022-01-21 18:00:00,1834.66,1835.2,1831.87,1832.01,2360
2022-01-21 18:15:00,1832.0,1834.91,1831.36,1833.86,2311
2022-01-21 18:30:00,1833.86,1835.06,1833.79,1834.01,1625
2022-01-21 18:45:00,1834.01,1835.17,1832.26,1835.03,1773
2022-01-21 19:00:00,1835.04,1835.17,1832.92,1833.54,1667
2022-01-21 19:15:00,1833.54,1833.73,1832.31,1833.25,1214
2022-01-21 19:30:00,1833.26,1833.76,1831.2,1833.07,1281
2022-01-21 19:45:00,1833.07,1833.44,1832.4,1832.81,1088
2022-01-21 20:00:00,1832.81,1832.83,1831.69,1831.91,949
2022-01-21 20:15:00,1831.9,1832.74,1831.27,1831.53,1030
2022-01-21 20:30:00,1831.57,1832.14,1830.19,1832.11,1073
2022-01-21 20:45:00,1832.08,1832.79,1831.57,1832.14,845
2022-01-21 21:00:00,1832.23,1832.42,1831.65,1831.95,597
2022-01-21 21:15:00,1831.95,1832.05,1830.98,1831.13,506
2022-01-21 21:30:00,1831.13,1832.01,1830.67,1831.6,675
2022-01-21 21:45:00,1831.6,1832.62,1831.22,1831.57,961
2022-01-21 22:00:00,1831.56,1831.56,1828.75,1829.03,1462
2022-01-21 22:15:00,1829.0,1829.97,1828.58,1828.94,1282
2022-01-21 22:30:00,1828.83,1830.29,1828.73,1830.06,927
2022-01-21 22:45:00,1830.07,1831.96,1829.43,1831.92,1227
2022-01-21 23:00:00,1831.94,1831.94,1830.76,1831.41,590
2022-01-21 23:15:00,1831.41,1831.62,1831.02,1831.22,186
2022-01-21 23:30:00,1831.22,1833.61,1831.13,1833.59,315
2022-01-21 23:45:00,1833.59,1834.63,1833.22,1834.63,205
2022-01-24 01:00:00,1832.9,1834.28,1832.88,1834.19,462
2022-01-24 01:15:00,1834.19,1836.23,1833.85,1836.04,563
2022-01-24 01:30:00,1836.04,1837.15,1835.37,1835.77,446
2022-01-24 01:45:00,1835.77,1835.91,1834.03,1834.64,497
2022-01-24 02:00:00,1834.64,1834.9,1833.15,1833.86,753
2022-01-24 02:15:00,1833.86,1834.25,1833.3,1833.92,508
2022-01-24 02:30:00,1833.92,1834.05,1833.36,1833.51,516
2022-01-24 02:45:00,1833.51,1834.34,1833.09,1833.25,904
2022-01-24 03:00:00,1833.25,1834.35,1832.89,1833.48,1653
2022-01-24 03:15:00,1833.42,1833.48,1832.57,1832.69,1199
2022-01-24 03:30:00,1832.67,1836.4,1832.63,1836.29,1342
2022-01-24 03:45:00,1836.29,1836.39,1835.01,1836.16,1202
2022-01-24 04:00:00,1836.12,1836.78,1835.45,1835.53,999
2022-01-24 04:15:00,1835.48,1836.9,1835.35,1836.83,574
2022-01-24 04:30:00,1836.84,1837.33,1836.08,1837.21,856
2022-01-24 04:45:00,1837.21,1837.41,1836.29,1836.63,923
2022-01-24 05:00:00,1836.63,1837.44,1835.64,1835.81,812
2022-01-24 05:15:00,1835.87,1836.26,1835.59,1835.64,685
2022-01-24 05:30:00,1835.62,1836.27,1835.62,1836.1,449
2022-01-24 05:45:00,1836.09,1837.06,1836.09,1836.53,510
2022-01-24 06:00:00,1836.58,1837.02,1836.23,1836.84,432
2022-01-24 06:15:00,1836.84,1837.43,1836.68,1837.19,289
2022-01-24 06:30:00,1837.16,1837.57,1837.04,1837.38,411
2022-01-24 06:45:00,1837.38,1837.99,1837.25,1837.96,340
2022-01-24 07:00:00,1837.96,1838.46,1837.21,1837.24,585
2022-01-24 07:15:00,1837.21,1837.34,1836.77,1837.01,571
2022-01-24 07:30:00,1837.01,1838.11,1836.84,1837.56,1153
2022-01-24 07:45:00,1837.59,1839.65,1837.55,1838.84,1062
2022-01-24 08:00:00,1838.84,1839.28,1838.16,1838.21,1248
2022-01-24 08:15:00,1838.21,1839.17,1838.04,1839.17,894
2022-01-24 08:30:00,1839.16,1839.3,1838.32,1838.8,951
2022-01-24 08:45:00,1838.81,1838.86,1836.74,1837.65,1156
2022-01-24 09:00:00,1837.62,1837.8,1836.52,1836.84,1405
2022-01-24 09:15:00,1836.84,1838.89,1836.44,1838.84,934
2022-01-24 09:30:00,1838.96,1839.47,1837.42,1837.42,1101
2022-01-24 09:45:00,1837.41,1838.05,1836.97,1838.04,955
2022-01-24 10:00:00,1838.04,1841.34,1837.75,1840.11,1724
2022-01-24 10:15:00,1840.1,1841.46,1840.01,1840.95,1523
2022-01-24 10:30:00,1840.97,1841.26,1839.65,1841.02,1365
2022-01-24 10:45:00,1841.02,1841.7,1840.44,1840.51,1486
2022-01-24 11:00:00,1840.53,1844.38,1840.53,1842.74,1740
2022-01-24 11:15:00,1842.74,1843.77,1842.12,1842.78,1503
2022-01-24 11:30:00,1842.78,1843.01,1842.1,1842.35,1181
2022-01-24 11:45:00,1842.38,1842.47,1841.06,1841.2,1159
2022-01-24 12:00:00,1841.22,1842.11,1840.07,1841.67,1434
2022-01-24 12:15:00,1841.66,1842.26,1839.43,1839.83,1521
2022-01-24 12:30:00,1839.83,1840.0,1837.54,1838.2,1690
2022-01-24 12:45:00,1838.2,1840.47,1838.12,1839.93,1385
2022-01-24 13:00:00,1840.02,1840.4,1838.57,1839.46,1317
2022-01-24 13:15:00,1839.46,1839.46,1837.17,1837.84,1275
2022-01-24 13:30:00,1837.84,1839.51,1837.54,1838.83,1313
2022-01-24 13:45:00,1838.77,1838.97,1837.79,1838.23,1191
2022-01-24 14:00:00,1838.23,1840.93,1838.16,1840.14,1455
2022-01-24 14:15:00,1840.12,1840.44,1838.63,1839.88,1272
2022-01-24 14:30:00,1839.88,1840.28,1837.73,1838.24,1310
2022-01-24 14:45:00,1838.25,1838.76,1836.46,1838.56,1427
2022-01-24 15:00:00,1838.56,1840.48,1838.25,1840.42,1966
2022-01-24 15:15:00,1840.39,1841.61,1839.37,1841.46,2335
2022-01-24 15:30:00,1841.46,1843.1,1837.83,1837.94,2511
2022-01-24 15:45:00,1837.97,1838.02,1834.66,1835.4,2850
2022-01-24 16:00:00,1835.4,1840.84,1835.36,1838.37,2453
2022-01-24 16:15:00,1838.4,1841.13,1837.67,1839.38,2292
2022-01-24 16:30:00,1839.38,1839.99,1832.67,1833.22,4211
2022-01-24 16:45:00,1833.93,1836.01,1833.04,1834.21,3988
2022-01-24 17:00:00,1834.19,1834.52,1831.17,1832.76,3605
2022-01-24 17:15:00,1832.77,1833.32,1829.72,1831.27,3366
2022-01-24 17:30:00,1831.27,1833.74,1830.6,1832.68,3258
2022-01-24 17:45:00,1832.69,1836.03,1832.58,1834.38,3013
2022-01-24 18:00:00,1834.4,1835.35,1833.37,1834.23,2410
2022-01-24 18:15:00,1834.23,1834.35,1833.41,1833.8,2077
2022-01-24 18:30:00,1833.84,1834.21,1832.57,1833.37,2171
2022-01-24 18:45:00,1833.37,1835.15,1833.13,1835.06,2190
2022-01-24 19:00:00,1835.06,1836.26,1833.44,1834.28,2190
2022-01-24 19:15:00,1834.3,1836.4,1834.24,1835.82,2116
2022-01-24 19:30:00,1835.83,1837.26,1834.69,1837.24,2151
2022-01-24 19:45:00,1837.24,1838.6,1836.84,1838.49,2199
2022-01-24 20:00:00,1838.5,1841.04,1837.7,1840.57,2516
2022-01-24 20:15:00,1840.57,1841.97,1839.97,1840.99,2478
2022-01-24 20:30:00,1841.03,1843.06,1841.01,1841.92,2142
2022-01-24 20:45:00,1841.94,1842.54,1841.15,1841.18,1802
2022-01-24 21:00:00,1841.17,1842.59,1840.53,1840.98,1897
2022-01-24 21:15:00,1840.96,1841.74,1838.58,1840.03,1843
2022-01-24 21:30:00,1840.01,1840.89,1839.8,1840.43,1782
2022-01-24 21:45:00,1840.43,1840.85,1838.7,1838.82,1994
2022-01-24 22:00:00,1838.78,1839.32,1838.25,1839.17,1805
2022-01-24 22:15:00,1839.19,1840.27,1837.8,1838.64,1775
2022-01-24 22:30:00,1838.64,1840.26,1838.38,1840.25,1870
2022-01-24 22:45:00,1840.26,1842.41,1839.98,1841.59,1921
2022-01-24 23:00:00,1841.36,1843.23,1841.32,1843.06,1054
2022-01-24 23:15:00,1843.06,1843.75,1842.31,1843.46,792
2022-01-24 23:30:00,1843.46,1844.03,1842.78,1842.96,487
2022-01-24 23:45:00,1842.96,1843.4,1842.86,1843.16,227
2022-01-25 01:00:00,1842.85,1843.01,1842.41,1842.66,385
2022-01-25 01:15:00,1842.66,1842.85,1842.37,1842.65,457
2022-01-25 01:30:00,1842.65,1842.69,1842.02,1842.22,306
2022-01-25 01:45:00,1842.22,1843.65,1842.14,1843.65,383
2022-01-25 02:00:00,1843.65,1843.65,1842.61,1842.74,711
2022-01-25 02:15:00,1842.67,1843.06,1842.57,1842.94,515
2022-01-25 02:30:00,1842.94,1843.5,1842.09,1843.2,870
2022-01-25 02:45:00,1843.2,1843.34,1842.15,1842.19,839
2022-01-25 03:00:00,1842.22,1843.14,1842.14,1842.62,1414
2022-01-25 03:15:00,1842.62,1842.84,1841.56,1842.22,1130
2022-01-25 03:30:00,1842.15,1842.21,1840.06,1840.34,1465
2022-01-25 03:45:00,1840.38,1841.22,1840.07,1840.15,1077
2022-01-25 04:00:00,1840.13,1841.13,1839.85,1840.93,1041
2022-01-25 04:15:00,1840.94,1841.22,1840.55,1840.75,753
2022-01-25 04:30:00,1840.75,1840.81,1839.47,1839.71,1024
